,ICD9_Code,CUI,name
510,404.91,C3665458,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
511,404.92,C0348879,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease"
512,404.93,C0494576,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
513,405.91,C0155624,Unspecified renovascular hypertension
514,41,C0161896,Operations on bone marrow and spleen
515,41.31,C0005954,Biopsy of bone marrow
516,41.5,C0337385,Total splenectomy
517,410.0,C0155627,"Acute myocardial infarction, of anterolateral wall"
518,410.10,C0155632,"Acute myocardial infarction of other anterior wall, episode of care unspecified"
519,410.11,C0155633,"Acute myocardial infarction of other anterior wall, initial episode of care"
520,410.40,C0155644,"Acute myocardial infarction of other inferior wall, episode of care unspecified"
521,410.41,C0155645,"Acute myocardial infarction of other inferior wall, initial episode of care"
522,410.51,C0155649,"Acute myocardial infarction of other lateral wall, initial episode of care"
523,410.61,C0155653,"True posterior wall infarction, initial episode of care"
524,410.71,C0155657,"Subendocardial infarction, initial episode of care"
525,410.72,C0155658,"Subendocardial infarction, subsequent episode of care"
526,410.91,C0155664,"Acute myocardial infarction of unspecified site, initial episode of care"
527,410.92,C0155665,"Acute myocardial infarction of unspecified site, subsequent episode of care"
528,411.0,C0152107,Postmyocardial infarction syndrome
529,411.1,C0002965,Intermediate coronary syndrome
530,411.89,C0340283,"Other acute and subacute forms of ischemic heart disease, other"
531,412,C0155668,Old myocardial infarction
532,413.1,C0002963,Prinzmetal angina
533,413.9,C0348588,Other and unspecified angina pectoris
534,414.00,C0837133,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
535,414.01,C0837134,Coronary atherosclerosis of native coronary artery
536,414.02,C0837135,Coronary atherosclerosis of autologous vein bypass graft
537,414.03,C0837136,Coronary atherosclerosis of nonautologous biological bypass graft
538,414.04,C0375264,Coronary atherosclerosis of artery bypass graft
539,414.05,C0375265,Coronary atherosclerosis of unspecified bypass graft
540,414.10,C1541919,Aneurysm of heart (wall)
541,414.12,C0340648,Dissection of coronary artery
542,414.2,C1955779,Chronic total occlusion of coronary artery
543,414.8,C0155670,Other specified forms of chronic ischemic heart disease
544,414.9,C0264694,"Chronic ischemic heart disease, unspecified"
545,415.11,C2711829,Iatrogenic pulmonary embolism and infarction
546,415.19,C0375267,Other pulmonary embolism and infarction
547,416.0,C0152171,Primary pulmonary hypertension
548,416.8,C0155673,Other chronic pulmonary heart diseases
549,416.9,C0238074,"Chronic pulmonary heart disease, unspecified"
550,417,C0155674,Other diseases of pulmonary circulation
551,42,C0192259,Operations on esophagus
552,42.22,C0192307,Esophagoscopy through artificial stoma
553,42.23,C0176725,Other esophagoscopy
554,42.33,C0176731,Endoscopic excision or destruction of lesion or tissue of esophagus
555,42.92,C0740287,Dilation of esophagus
556,421.0,C0553977,Acute and subacute bacterial endocarditis
557,423.9,C0265122,Unspecified disease of pericardium
558,424.0,C0026265,Mitral valve disorders
559,424.1,C1260873,Aortic valve disorders
560,424.3,C0034087,Pulmonary valve disorders
561,424.90,C0264865,"Endocarditis, valve unspecified, unspecified cause"
562,425.4,C0340419,Other primary cardiomyopathies
563,425.8,C0155699,Cardiomyopathy in other diseases classified elsewhere
564,426.0,C0151517,"Atrioventricular block, complete"
565,426.11,C0085614,First degree atrioventricular block
566,426.2,C0155702,Left bundle branch hemiblock
567,426.3,C0155703,Other left bundle branch block
568,426.4,C0085615,Right bundle branch block
569,426.51,C0155704,Right bundle branch block and left posterior fascicular block
570,426.52,C0155705,Right bundle branch block and left anterior fascicular block
571,426.53,C0155706,Other bilateral bundle branch block
572,426.54,C0155707,Trifascicular block
573,426.9,C0264886,"Conduction disorder, unspecified"
574,427.0,C0030590,Paroxysmal supraventricular tachycardia
575,427.1,C0030591,Paroxysmal ventricular tachycardia
576,427.31,C0004238,Atrial fibrillation
577,427.32,C0004239,Atrial flutter
578,427.5,C0018790,Cardiac arrest
579,427.69,C0029712,Other premature beats
580,427.81,C0428908,Sinoatrial node dysfunction
581,427.89,C0348626,Other specified cardiac dysrhythmias
582,427.9,C0003811,"Cardiac dysrhythmia, unspecified"
583,428.0,C0018802,"Congestive heart failure, unspecified"
584,428.1,C0023212,Left heart failure
585,428.20,C1135191,"Systolic heart failure, unspecified"
586,428.21,C2732748,Acute systolic heart failure
587,428.22,C1135194,Chronic systolic heart failure
588,428.23,C2733492,Acute on chronic systolic heart failure
589,428.30,C1135196,"Diastolic heart failure, unspecified"
590,428.31,C2732951,Acute diastolic heart failure
591,428.32,C2711480,Chronic diastolic heart failure
592,428.33,C2732749,Acute on chronic diastolic heart failure
593,428.41,C2882274,Acute combined systolic and diastolic heart failure
594,428.42,C2882275,Chronic combined systolic and diastolic heart failure
595,428.43,C2882276,Acute on chronic combined systolic and diastolic heart failure
596,428.9,C0018801,"Heart failure, unspecified"
597,429.0,C0027059,"Myocarditis, unspecified"
598,429.2,C0007222,"Cardiovascular disease, unspecified"
599,429.3,C0018800,Cardiomegaly
600,429.89,C0155717,Other ill-defined heart diseases
601,429.9,C0018799,"Heart disease, unspecified"
602,43,C0161898,Incision and excision of stomach
603,43.11,C0176751,Percutaneous [endoscopic] gastrostomy [PEG]
604,43.19,C0176752,Other gastrostomy
605,43.41,C0176754,Endoscopic excision or destruction of lesion or tissue of stomach
606,430,C0038525,Subarachnoid hemorrhage
607,431,C2937358,Intracerebral hemorrhage
608,432.1,C0018946,Subdural hemorrhage
609,432.9,C0151699,Unspecified intracranial hemorrhage
610,433.10,C0375275,Occlusion and stenosis of carotid artery without mention of cerebral infarction
611,433.11,C0375276,Occlusion and stenosis of carotid artery with cerebral infarction
612,433.20,C0375277,Occlusion and stenosis of vertebral artery without mention of cerebral infarction
613,433.30,C0375279,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction
614,433.31,C0375280,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction
615,433.80,C0375281,Occlusion and stenosis of other specified precerebral artery without mention of cerebral infarction
616,434.91,C0375291,"Cerebral artery occlusion, unspecified with cerebral infarction"
617,435.9,C0917805,Unspecified transient cerebral ischemia
618,436,C0001365,"Acute, but ill-defined, cerebrovascular disease"
619,437.2,C0151620,Hypertensive encephalopathy
620,437.3,C0155730,"Cerebral aneurysm, nonruptured"
621,437.9,C0007820,Unspecified cerebrovascular disease
622,438.11,C0489985,"Late effects of cerebrovascular disease, aphasia"
623,438.20,C0489989,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
624,438.6,C1135206,"Late effects of cerebrovascular disease, alterations of sensations"
625,438.89,C0490004,Other late effects of cerebrovascular disease
626,438.9,C0155732,Unspecified late effects of cerebrovascular disease
627,44,C0161900,Other operations on stomach
628,44.13,C0029623,Other gastroscopy
629,44.3,C0017166,Gastroenterostomy without gastrectomy
630,44.32,C0994537,Percutaneous [endoscopic] gastrojejunostomy
631,44.43,C0176770,Endoscopic control of gastric or duodenal bleeding
632,44.44,C0176771,Transcatheter embolization for gastric or duodenal bleeding
633,44.63,C0176775,Closure of other gastric fistula
634,44.66,C0176776,Other procedures for creation of esophagogastric sphincteric competence
635,44.69,C0029724,Other repair of stomach
636,44.9,C0161900,Other operations on stomach
637,440.0,C0155733,Atherosclerosis of aorta
638,440.1,C0155734,Atherosclerosis of renal artery
639,440.20,C0375294,"Atherosclerosis of native arteries of the extremities, unspecified"
640,440.21,C0375295,Atherosclerosis of native arteries of the extremities with intermittent claudication
641,440.22,C2882703,Atherosclerosis of native arteries of the extremities with rest pain
642,440.23,C0375297,Atherosclerosis of native arteries of the extremities with ulceration
643,440.24,C0375298,Atherosclerosis of native arteries of the extremities with gangrene
644,440.29,C0375299,Other atherosclerosis of native arteries of the extremities
645,440.31,C0375302,Atherosclerosis of autologous vein bypass graft of the extremities
646,440.4,C1955783,Chronic total occlusion of artery of the extremities
647,440.8,C0004155,Atherosclerosis of other specified arteries
648,441.01,C0729233,"Dissection of aorta, thoracic"
649,441.02,C0302465,"Dissection of aorta, abdominal"
650,441.2,C3251816,Thoracic aneurysm without mention of rupture
651,441.3,C0265012,"Abdominal aneurysm, ruptured"
652,441.4,C0265011,Abdominal aneurysm without mention of rupture
653,441.9,C0340629,Aortic aneurysm of unspecified site without mention of rupture
654,442.2,C0162870,Aneurysm of iliac artery
655,442.3,C0155744,Aneurysm of artery of lower extremity
656,442.89,C0002945,Aneurysm of other specified artery
657,443.0,C0034734,Raynaud's syndrome
658,443.81,C0031115,Peripheral angiopathy in diseases classified elsewhere
659,443.89,C0029822,Other specified peripheral vascular diseases
660,443.9,C0085096,"Peripheral vascular disease, unspecified"
661,444.0,C0013923,Embolism and thrombosis of abdominal aorta
662,444.21,C0494620,Arterial embolism and thrombosis of upper extremity
663,444.22,C0340589,Arterial embolism and thrombosis of lower extremity
664,444.81,C0155755,Embolism and thrombosis of iliac artery
665,444.89,C0155754,Embolism and thrombosis of other specified artery
666,446.6,C2717961,Thrombotic microangiopathy
667,447.0,C1541850,"Arteriovenous fistula, acquired"
668,447.1,C0038449,Stricture of artery
669,447.2,C0155760,Rupture of artery
670,447.8,C0155763,Other specified disorders of arteries and arterioles
671,45,C0161901,"Incision, excision, and anastomosis of intestine"
672,45.13,C0029611,Other endoscopy of small intestine
673,45.14,C0192675,Closed [endoscopic] biopsy of small intestine
674,45.16,C0176784,Esophagogastroduodenoscopy [EGD] with closed biopsy
675,45.23,C0009378,Colonoscopy
676,45.25,C0192891,Closed [endoscopic] biopsy of large intestine
677,45.30,C0176791,Endoscopic excision or destruction of lesion of duodenum
678,45.33,C0176794,"Local excision of lesion or tissue of small intestine, except duodenum"
679,45.41,C0176797,Excision of lesion or tissue of large intestine
680,45.42,C0192894,Endoscopic polypectomy of large intestine
681,45.43,C0375971,Endoscopic destruction of other lesion or tissue of large intestine
682,45.49,C0176799,Other destruction of lesion of large intestine
683,45.62,C0176804,Other partial resection of small intestine
684,45.73,C2349512,Open and other right hemicolectomy
685,45.75,C2349514,Open and other left hemicolectomy
686,45.76,C2349515,Open and other sigmoidectomy
687,45.8,C0176806,Total intra-abdominal colectomy
688,45.94,C0192955,Large-to-large intestinal anastomosis
689,453.8,C2712736,Acute venous embolism and thrombosis of other specified veins
690,453.85,C2712847,Acute venous embolism and thrombosis of subclavian veins
691,453.9,C0040038,Other venous embolism and thrombosis of unspecified site
692,454.0,C0553570,Varicose veins of lower extremities with ulcer
693,455.0,C0265035,Internal hemorrhoids without mention of complication
694,455.1,C0155781,Internal thrombosed hemorrhoids
695,455.2,C0155782,Internal hemorrhoids with other complication
696,455.4,C0155784,External thrombosed hemorrhoids
697,455.6,C0041844,Unspecified hemorrhoids without mention of complication
698,456.1,C0267092,Esophageal varices without mention of bleeding
699,456.20,C0155792,"Esophageal varices in diseases classified elsewhere, with bleeding"
700,458.0,C0020651,Orthostatic hypotension
701,458.8,C0490007,Other specified hypotension
702,458.9,C0020649,"Hypotension, unspecified"
703,459.2,C0155802,Compression of vein
704,459.81,C0042485,"Venous (peripheral) insufficiency, unspecified"
705,46,C0399857,Other operations on intestine
706,46.10,C0009410,"Colostomy, not otherwise specified"
707,46.73,C0176821,"Suture of laceration of small intestine, except duodenum"
708,46.75,C0176823,Suture of laceration of large intestine
709,46.79,C0176819,Other repair of intestine
710,46.85,C0176825,Dilation of intestine
711,461.0,C0155804,Acute maxillary sinusitis
712,461.9,C0149512,"Acute sinusitis, unspecified"
713,47,C0192819,Operations on appendix
714,47.19,C0375980,Other incidental appendectomy
715,470,C0549397,Deviated nasal septum
716,471.0,C0027430,Polyp of nasal cavity
717,471.8,C0155823,Other polyp of sinus
718,471.9,C0027430,Unspecified nasal polyp
719,472.0,C0008711,Chronic rhinitis
720,472.2,C0155826,Chronic nasopharyngitis
721,473.0,C0008698,Chronic maxillary sinusitis
722,473.1,C0008683,Chronic frontal sinusitis
723,473.2,C0008681,Chronic ethmoidal sinusitis
724,473.3,C0008712,Chronic sphenoidal sinusitis
725,473.8,C0395986,Other chronic sinusitis
726,473.9,C0149516,Unspecified sinusitis (chronic)
727,474.00,C0149517,Chronic tonsillitis
728,474.11,C0155831,Hypertrophy of tonsils alone
729,477.9,C2607914,"Allergic rhinitis, cause unspecified"
730,478.0,C0155840,Hypertrophy of nasal turbinates
731,478.1,C0029581,Other diseases of nasal cavity and sinuses
732,478.26,C0155845,Cyst of pharynx or nasopharynx
733,478.29,C0795699,"Other diseases of pharynx, not elsewhere classified"
734,478.79,C1561612,"Other diseases of larynx, not elsewhere classified"
735,48.1,C0193184,Proctostomy
736,48.23,C0035622,Rigid proctosigmoidoscopy
737,48.24,C0193156,Closed [endoscopic] biopsy of rectum
738,48.32,C0176840,Other electrocoagulation of rectal lesion or tissue
739,48.36,C0375981,[Endoscopic] polypectomy of rectum
740,48.62,C0176848,Anterior resection of rectum with synchronous colostomy
741,48.9,C0176856,Other operations on rectum and perirectal tissue
742,48.93,C0193189,Repair of perirectal fistula
743,482.1,C0155860,Pneumonia due to Pseudomonas
744,482.2,C0276026,Pneumonia due to Hemophilus influenzae [H. influenzae]
745,482.41,C2349529,Methicillin susceptible pneumonia due to Staphylococcus aureus
746,482.42,C1142536,Methicillin resistant pneumonia due to Staphylococcus aureus
747,482.49,C0695234,Other Staphylococcus pneumonia
748,482.81,C0375327,Pneumonia due to anaerobes
749,482.83,C0854248,Pneumonia due to other gram-negative bacteria
750,482.9,C0004626,"Bacterial pneumonia, unspecified"
751,485,C0006285,"Bronchopneumonia, organism unspecified"
752,486,C0339951,"Pneumonia, organism unspecified"
753,49.01,C0176858,Incision of perianal abscess
754,49.39,C0176864,Other local excision or destruction of lesion or tissue of anus
755,49.46,C0019108,Excision of hemorrhoids
756,49.52,C0400250,Posterior anal sphincterotomy
757,491.21,C4041147,Obstructive chronic bronchitis with (acute) exacerbation
758,491.22,C1456131,Obstructive chronic bronchitis with acute bronchitis
759,491.8,C0029544,Other chronic bronchitis
760,492.8,C0029607,Other emphysema
761,493.20,C0375333,"Chronic obstructive asthma, unspecified"
762,493.22,C1176341,Chronic obstructive asthma with (acute) exacerbation
763,493.90,C0155886,"Asthma, unspecified type, unspecified"
764,496,C0302378,"Chronic airway obstruction, not elsewhere classified"
765,50.11,C0176879,Closed (percutaneous) [needle] biopsy of liver
766,50.12,C0193389,Open biopsy of liver
767,507.0,C0260334,Pneumonitis due to inhalation of food or vomitus
768,51,C0193436,Operations on gallbladder and biliary tract
769,51.10,C0008310,Endoscopic retrograde cholangiopancreatography [ERCP]
770,51.14,C0176900,Other closed [endoscopic] biopsy of biliary duct or sphincter of Oddi
771,51.22,C0008320,Cholecystectomy
772,51.23,C0162522,Laparoscopic cholecystectomy
773,51.36,C0193558,Choledochoenterostomy
774,51.37,C0193531,Anastomosis of hepatic duct to gastrointestinal tract
775,51.41,C0176907,Common duct exploration for removal of calculus
776,51.84,C0176921,Endoscopic dilation of ampulla and biliary duct
777,51.85,C4317048,Endoscopic sphincterotomy and papillotomy
778,51.87,C0176924,Endoscopic insertion of stent (tube) into bile duct
779,51.88,C0176925,Endoscopic removal of stone(s) from biliary tract
780,511.9,C0032227,Unspecified pleural effusion
781,512.0,C0155907,Spontaneous tension pneumothorax
782,512.1,C0375336,Iatrogenic pneumothorax
783,512.8,C3161434,Other pneumothorax and air leak
784,514,C0155910,Pulmonary congestion and hypostasis
785,515,C0175999,Postinflammatory pulmonary fibrosis
786,516.3,C0085786,Idiopathic interstitial pneumonia
787,517.8,C0155917,Lung involvement in other diseases classified elsewhere
788,518.0,C0004144,Pulmonary collapse
789,518.5,C0034076,Pulmonary insufficiency following trauma and surgery
790,518.51,C3161110,Acute respiratory failure following trauma and surgery
791,518.81,C0264490,Acute respiratory failure
792,518.83,C0264492,Chronic respiratory failure
793,518.84,C0264491,Acute and chronic respiratory failure
794,518.89,C0029579,"Other diseases of lung, not elsewhere classified"
795,519.02,C0695237,Mechanical complication of tracheostomy
796,519.1,C0869292,"Other diseases of trachea and bronchus, not elsewhere classified"
797,519.8,C0869452,"Other diseases of respiratory system, not elsewhere classified"
798,52,C0193594,Operations on pancreas
799,52.14,C0176935,Closed [endoscopic] biopsy of pancreatic duct
800,52.9,C0842217,Other operations on pancreas
801,52.93,C0400522,Endoscopic insertion of stent (tube) into pancreatic duct
802,521.00,C0011334,"Dental caries, unspecified"
803,521.09,C0348719,Other dental caries
804,522.0,C0034103,Pulpitis
805,522.4,C0155934,Acute apical periodontitis of pulpal origin
806,522.5,C0399424,Periapical abscess without sinus
807,523.1,C0008684,Chronic gingivitis
808,523.5,C0031106,Periodontosis
809,523.6,C0011346,Accretions on teeth
810,523.8,C0029821,Other specified periodontal diseases
811,523.9,C0155936,Unspecified gingival and periodontal disease
812,524.10,C0003110,"Anomalies of relationship of jaw to cranial base, unspecified anomaly"
813,525.8,C0029790,Other specified disorders of the teeth and supporting structures
814,526.81,C0155955,Exostosis of jaw
815,528.9,C0029498,Other and unspecified diseases of the oral soft tissues
816,529.8,C0155965,Other specified conditions of the tongue
817,53.01,C2349539,Other and open repair of direct inguinal hernia
818,53.03,C2349542,Other and open repair of direct inguinal hernia with graft or prosthesis
819,53.04,C2349543,Other and open repair of indirect inguinal hernia with graft or prosthesis
820,53.05,C0198742,"Repair of inguinal hernia with graft or prosthesis, not otherwise specified"
821,53.1,C2349551,Other bilateral repair of inguinal hernia
822,53.12,C2349546,Other and open bilateral repair of indirect inguinal hernia
823,53.17,C0198745,"Bilateral inguinal hernia repair with graft or prosthesis, not otherwise specified"
824,53.2,C0198760,Unilateral repair of femoral hernia
825,53.21,C0198762,Unilateral repair of femoral hernia with graft or prosthesis
826,530.10,C0014868,"Esophagitis, unspecified"
827,530.11,C0014869,Reflux esophagitis
828,530.19,C0375352,Other esophagitis
829,530.2,C0151970,Ulcer of esophagus
830,530.3,C4551650,Stricture and stenosis of esophagus
831,530.5,C0014858,Dyskinesia of esophagus
832,530.81,C0017168,Esophageal reflux
833,530.85,C0004763,Barrett's esophagus
834,531.40,C0155980,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
835,531.9,C0400806,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation"
836,531.90,C0400806,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
837,532.40,C0156005,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction"
838,532.90,C0489962,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction"
839,533.90,C0030924,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
840,535.00,C0156070,"Acute gastritis, without mention of hemorrhage"
841,535.10,C0156072,"Atrophic gastritis, without mention of hemorrhage"
842,535.40,C0156079,"Other specified gastritis, without mention of hemorrhage"
843,535.41,C0156080,"Other specified gastritis, with hemorrhage"
844,535.50,C0156081,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
845,535.51,C0156082,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
846,535.60,C0156083,"Duodenitis, without mention of hemorrhage"
847,536.42,C0695240,Mechanical complication of gastrostomy
848,536.49,C0695241,Other gastrostomy complications
849,536.8,C0013396,Dyspepsia and other specified disorders of function of stomach
850,537.83,C0156091,Angiodysplasia of stomach and duodenum with hemorrhage
851,537.89,C0348731,Other specified disorders of stomach and duodenum
852,54,C0161915,Other operations on abdominal region
853,54.0,C0198489,Incision of abdominal wall
854,54.11,C0085704,Exploratory laparotomy
855,54.12,C0405757,Reopening of recent laparotomy site
856,54.19,C0029654,Other laparotomy
857,54.21,C0031150,Laparoscopy
858,54.22,C0701804,Biopsy of abdominal wall or umbilicus
859,54.51,C0405808,Laparoscopic lysis of peritoneal adhesions
860,54.59,C0375996,Other lysis of peritoneal adhesions
861,54.61,C0198546,Reclosure of postoperative disruption of abdominal wall
862,54.91,C0198497,Percutaneous abdominal drainage
863,54.93,C0198644,Creation of cutaneoperitoneal fistula
864,54.95,C0198593,Incision of peritoneum
865,54.98,C0031139,Peritoneal dialysis
866,544.3,,
867,55,C0194053,Operations on kidney
868,55.03,C0030990,Percutaneous nephrostomy without fragmentation
869,55.23,C0843622,Closed [percutaneous] [needle] biopsy of kidney
870,550.10,C0554123,"Inguinal hernia, with obstruction, without mention of gangrene, unilateral or unspecified (not specified as recurrent)"
871,550.12,C0401080,"Inguinal hernia, with obstruction, without mention of gangrene, bilateral (not specified as recurrent)"
872,550.90,C0156109,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified (not specified as recurrent)"
873,550.91,C0156110,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified, recurrent"
874,550.92,C0156111,"Inguinal hernia, without mention of obstruction or gangrene, bilateral (not specified as recurrent)"
875,553.00,C0041688,"Femoral hernia without mention of obstruction of gangrene, unilateral or unspecified(not specified as recurrent)"
876,553.3,C0494752,Diaphragmatic hernia without mention of obstruction or gangrene
877,556.9,C0009324,"Ulcerative colitis, unspecified"
878,557.0,C0001363,Acute vascular insufficiency of intestine
879,558.9,C0029512,Other and unspecified noninfectious gastroenteritis and colitis
880,56.0,C0194271,Transurethral removal of obstruction from ureter and renal pelvis
881,56.31,C0194261,Ureteroscopy
882,56.33,C0177008,Closed endoscopic biopsy of ureter
883,56.51,C2937404,Formation of cutaneous uretero-ileostomy
884,560.1,C0030446,Paralytic ileus
885,560.2,C0042961,Volvulus
886,560.39,C0029640,Other impaction of intestine
887,560.81,C0156158,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection)
888,560.89,C0156157,Other specified intestinal obstruction
889,562.10,C0156166,Diverticulosis of colon (without mention of hemorrhage)
890,562.11,C0156167,Diverticulitis of colon (without mention of hemorrhage)
891,562.12,C0156168,Diverticulosis of colon with hemorrhage
892,564.00,C0009806,"Constipation, unspecified"
893,565.0,C0016167,Anal fissure
894,565.1,C0149889,Anal fistula
895,566,C0267567,Abscess of anal and rectal regions
896,567.22,C0267756,Peritoneal abscess
897,567.89,C0029823,Other specified peritonitis
898,568.0,C0375362,Peritoneal adhesions (postoperative) (postinfection)
899,569.0,C0002753,Anal and rectal polyp
900,569.3,C0019081,Hemorrhage of rectum and anus
901,569.5,C0156185,Abscess of intestine
902,569.83,C0021845,Perforation of intestine
903,569.84,C0267367,Angiodysplasia of intestine (without mention of hemorrhage)
904,569.89,C0348743,Other specified disorders of intestine
905,57.0,C0040769,Transurethral clearance of bladder
906,57.19,C0177027,Other cystotomy
907,57.32,C0029568,Other cystoscopy
908,57.33,C2239133,Closed [transurethral] biopsy of bladder
909,57.49,C0177036,Other transurethral excision or destruction of lesion or tissue of bladder
910,57.71,C0194401,Radical cystectomy
911,57.81,C0010700,Suture of laceration of bladder
912,57.91,C0177047,Sphincterotomy of bladder
913,57.94,C0177049,Insertion of indwelling urinary catheter
914,57.95,C0177050,Replacement of indwelling urinary catheter
915,570,C0001308,Acute and subacute necrosis of liver
916,571.2,C0023891,Alcoholic cirrhosis of liver
917,571.3,C1442981,"Alcoholic liver damage, unspecified"
918,571.40,C0019189,"Chronic hepatitis, unspecified"
919,572.2,C0019151,Hepatic encephalopathy
920,572.3,C0020541,Portal hypertension
921,573.3,C0019158,"Hepatitis, unspecified"
922,574.01,C0156201,"Calculus of gallbladder with acute cholecystitis, with obstruction"
923,574.10,C0156203,"Calculus of gallbladder with other cholecystitis, without mention of obstruction"
924,574.20,C0006742,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
925,574.30,C0156207,"Calculus of bile duct with acute cholecystitis, without mention of obstruction"
926,574.40,C0156210,"Calculus of bile duct with other cholecystitis, without mention of obstruction"
927,574.60,C0375366,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction"
928,574.61,C0375367,"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction"
929,574.71,C0375370,"Calculus of gallbladder and bile duct with other cholecystitis, with obstruction"
930,574.80,C0375372,"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, without mention of obstruction"
931,575.0,C0149520,Acute cholecystitis
932,575.12,C0302472,Acute and chronic cholecystitis
933,575.3,C0152445,Hydrops of gallbladder
934,575.8,C0348758,Other specified disorders of gallbladder
935,576.1,C0008311,Cholangitis
936,576.2,C0008370,Obstruction of bile duct
937,577.0,C0001339,Acute pancreatitis
938,578.0,C0018926,Hematemesis
939,578.1,C0018932,Blood in stool
940,578.9,C0017181,"Hemorrhage of gastrointestinal tract, unspecified"
941,579.0,C0007570,Celiac disease
942,58.23,C0194564,Biopsy of urethra
943,58.49,C0177063,Other repair of urethra
944,58.5,C0194552,Release of urethral stricture
945,58.6,C0194664,Dilation of urethra
946,581.9,C0027730,Nephrotic syndrome with unspecified pathological lesion in kidney
947,583.81,C0027699,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
948,584.5,C2712977,Acute kidney failure with lesion of tubular necrosis
949,584.9,C0022660,"Acute kidney failure, unspecified"
950,585,C1561643,Chronic kidney disease (CKD)
951,585.3,C1561640,"Chronic kidney disease, Stage III (moderate)"
952,585.4,C1561641,"Chronic kidney disease, Stage IV (severe)"
953,585.6,C0022661,End stage renal disease
954,585.9,C1561643,"Chronic kidney disease, unspecified"
955,586,C0035078,"Renal failure, unspecified"
956,588.8,C0029791,Other specified disorders resulting from impaired renal function
957,588.81,C0271847,Secondary hyperparathyroidism (of renal origin)
958,59,C0175598,Other operations on urinary tract
959,59.8,C0041953,Ureteral catheterization
960,59.95,C0401265,Ultrasonic fragmentation of urinary stones
961,591,C0020295,Hydronephrosis
962,592.0,C0022650,Calculus of kidney
963,592.1,C0041952,Calculus of ureter
964,593.3,C0156261,Stricture or kinking of ureter
965,593.4,C0029866,Other ureteric obstruction
966,593.89,C0029781,Other specified disorders of kidney and ureter
967,593.9,C0268701,Unspecified disorder of kidney and ureter
968,594.1,C0029529,Other calculus in bladder
969,594.2,C0162301,Calculus in urethra
970,595.1,C0600040,Chronic interstitial cystitis
971,595.2,C0156268,Other chronic cystitis
972,596.0,C0005694,Bladder neck obstruction
973,596.54,C0005697,Neurogenic bladder NOS
974,598.8,C0029752,Other specified causes of urethral stricture
975,598.9,C4551691,"Urethral stricture, unspecified"
976,599.0,C0042029,"Urinary tract infection, site not specified"
977,599.3,C0152247,Urethral caruncle
978,599.6,C0178879,Urinary obstruction
979,599.7,C0018965,Hematuria
980,60.0,C0194792,Incision of prostate
981,60.11,C0401640,Closed [percutaneous] [needle] biopsy of prostate
982,60.29,C0376005,Other transurethral prostatectomy
983,60.9,C0175600,Other operations on prostate
984,60.94,C0177094,Control of (postoperative) hemorrhage of prostate
985,60.95,C0372415,Transurethral balloon dilation of the prostatic urethra
986,600,C2937421,Hyperplasia of prostate
987,600.0,C0005001,Hypertrophy (benign) of prostate
988,600.00,C1719538,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
989,600.01,C1260419,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
990,600.9,C2937421,"Hyperplasia of prostate, unspecified"
991,601.1,C0085696,Chronic prostatitis
992,602.1,C0156295,Congestion or hemorrhage of prostate
993,603.8,C0029837,Other specified types of hydrocele
994,603.9,C1720771,"Hydrocele, unspecified"
995,608.3,C0156312,Atrophy of testis
996,61,C0161926,Operations on scrotum and tunica vaginalis
997,61.3,C0177101,Excision or destruction of lesion or tissue of scrotum
998,62.3,C0194873,Unilateral orchiectomy
999,62.5,C0194907,Orchiopexy
1000,63,C0161928,"Operations on spermatic cord, epididymis, and vas deferens"
1001,63.1,C0177119,Excision of varicocele and hydrocele of spermatic cord
